Name,ElementGroup,Difficulty,Event
Uprise fwd. to support.,1,0.1,SR
"From any support scale, swallow or swing bwd in support, roll forward to bwd swing in hang.",1,0.1,SR
Uprise fwd and counter salto fwd. to bwd swing in hang. (Chechi),1,0.2,SR
"From hang, felge upward to support.",1,0.1,SR
Swing fwd. through hdst.,1,0.2,SR
Tucked double salto bwd. to hang (Guczoghy),1,0.3,SR
Piked or straight double salto bwd. to hang. (O’Neill),1,0.4,SR
Dislocate bwd. piked or straight.,1,0.1,SR
Uprise bwd. to support.,1,0.1,SR
Uprise bwd. str. through handstand.,1,0.2,SR
Inlocate piked or straight.,1,0.1,SR
Backward swing to salto fwd. piked to support (Honma),1,0.2,SR
Honma straight.,1,0.3,SR
Slow inlocate from hang.,1,0.1,SR
Double salto fwd. tucked to hang. (Yamawaki),1,0.2,SR
Double salto fwd. piked or straight to hang. (Jonasson),1,0.3,SR
Kip to support.,1,0.1,SR
Back kip with bent arms to support.,1,0.1,SR
Back kip to support.,1,0.2,SR
Fwd. swing to swing bwd. in hang.,1,0.1,SR
"Bwd. swing, salto piked to support.",1,0.3,SR
"From support or cross, felge bwd. piked or straight with bent arms to support.",1,0.1,SR
Back kip or roll bwd str. with bent arms to handstand (2 s.).,1,0.2,SR
Swing bwd. or giant swing bwd to handstand (2 s.).,1,0.3,SR
Uprise bwd. or giant swing fwd to handstand (2 s.).,1,0.3,SR
From support swing bwd. to handstand (2 s.).,1,0.2,SR
Honma and swing bwd. to handstand (2 s.).,1,0.3,SR
Honma str. and swing bwd. to handstand (2 s.).,1,0.4,SR
L-sit (2 s.) or straddled L-sit (2 s.).,2,0.1,SR
V-sit (2 s.).,2,0.2,SR
Inverted cross (2 s.),2,0.4,SR
Hanging scale rearways (back lever) (2 s.).,2,0.1,SR
Support scale (planche)(2 s.).,2,0.3,SR
Support scale at ring height (swallow or maltese cross) (2 s.). (Hirondelle),2,0.4,SR
Inverted swallow (2 s.).,2,0.5,SR
Hanging scale frontways (front lever) (2 s.).,2,0.1,SR
.,2,0.2,SR
Any cross (2 s.)or V cross (2 s.).,2,0.3,SR
Support scale straddled (2 s.).,2,0.1,SR
"V Cross, press to V-sit (2 sec.). (Tsukahara 3)",2,0.4,SR
Vertical pull up with str. arms to V-cross (2 s.). (Colak),2,0.5,SR
Press to hdst. with bent body and bent arms (2 s) - Also straddle legs.,2,0.1,SR
"Press to hdst. with str. body a. bent arms or b. body. a. str. arms, or fr. strad. sup. lever (2 s.). - Also straddle legs.",2,0.2,SR
Press to hdst. with str. body and str. arms from support or support scale (2 s.).,2,0.3,SR
"Slow roll fwd. piked with bent arms, to support.",2,0.1,SR
"Slow roll fwd. straight with bent arms, to support.",2,0.2,SR
Slow roll bwd. slowly and straight. body to L sit (2 s.).,2,0.2,SR
Slow roll fwd. straight to cross or L-cross (2 s.).,2,0.3,SR
Vertical pull up with bent arms to hanging scale rearways (2 s.).,2,0.2,SR
Vertical pull up with straight arms to hanging scale rearways (2 s.).,2,0.3,SR
Slow Roll bwd. with straight body to cross or L-cross (2 s.). (Azarian),2,0.4,SR
Azarian to V Cross (2 s.). (Tay),2,0.5,SR
"Fr. cross or L-cr., move fwd. to back lever (2 s.).",2,0.2,SR
Vertical pull up to L-sit (2 s.).,2,0.3,SR
"From or through hanging scale rearways, pull to cross or L-cross (2 s.). (Nakayama)",2,0.4,SR
Nakayama to V cross (2 s.). (NG Kiu Chung),2,0.5,SR
Through hanging scale rearways (no hold re-quired) pull with str. body through cross to inv. swallow (2 s.). (Zahran),2,0.6,SR
"From hdst., lower horiz. to back lever (2 s.).",2,0.2,SR
"From sup. or cross, lower slowly to hang, and pull with str. arms to cross (2 s.). (Li Xiaoshuang)",2,0.3,SR
Vertical pull up to cross or L-cross (2 s.).,2,0.4,SR
"From planche, lower horiz. and slowly to hanging scale rw. and press to swallow (2 s.) or from swallow same to planche or planche to planche. (Van Gelder)",2,0.5,SR
"From hang vertical pull up, slowly with straight arms through cross to inverted swallow (2 s.). (Tulloch 2) G",2,0.7,SR
"From handstand, lower slowly through inverted cross to inverted hang.",2,0.2,SR
"From swallow, press to support scale (2 s.).",2,0.4,SR
"From swallow, lower slowly to hanging scale, press to swallow (2 s.).",2,0.5,SR
From hanging scale rw. press to swallow (also to Support Scale) (2 s.). Zanetti,2,0.6,SR
"From cross or L-cross, press to L-sit (2 s.).",2,0.3,SR
"From L-cross, press to inverted cross (2 s.).",2,0.5,SR
"From cross, press with straight body to inverted cross (2 s.).",2,0.6,SR
"From swallow, press to inverted cross (2 s.).",2,0.6,SR
"From cross, press to planche without first going to support (2 s.).",2,0.4,SR
"From cross, press to swallow (2 s.).",2,0.5,SR
From inverted cross lower slowly to inverted hang and felge bwd. slowly to cross (2 s.) (Vorobiov/Zou),2,0.4,SR
From inverted cross lower slowly to inverted hang and felge bwd. slowly to swallow (2 s.) (Jotchev),2,0.5,SR
Roll bwd. slowly with str. arms and body to free sup. scale (2 s.).,2,0.5,SR
Slow Roll bwd. with str. body to swallow (2 s.).,2,0.5,SR
Roll backward slowly with straight arms and body to inverted cross through swallow. (Simonov),2,0.6,SR
Slow roll fwd. with straight body through cross and press to support scale without first going to support (2 s.). (Ng Kiu Chung 2),2,0.4,SR
Slow roll fwd. with straight body through cross to inverted cross (2 s.). (Wynn),2,0.5,SR
Azarian to inverted Swallow (2 s.). (Tulloch),2,0.6,SR
Through hang rearways press and straight body to inverted cross (2 s.) (Carmona),2,0.7,SR
From hang vertical pull up support and press to hdst. with straight body and straight arms (Cingolani),2,0.4,SR
"From hang vertical pull up to swallow (2 s.). (Balandin 1)""",2,0.6,SR
From hang vertical pull up thr. swallow to sup. scale (2 s.) (Balandin 3),2,0.5,SR
From hang vertical pull up to inv. cross (2 s.) (Balandin 2),2,0.7,SR
"Uprise fwd. to L-sit, (2 s.).",3,0.2,SR
Uprise fwd. to V-sit (2 s.).,3,0.3,SR
Kip to L-sit (2 s.).,3,0.2,SR
Kip to V-sit (2 s.).,3,0.3,SR
Honma to L-sit (2 s.).,3,0.2,SR
Homma to V-sit (2 s.). (Garcia),3,0.3,SR
Honma to cross / L-cross (2 s.).,3,0.4,SR
Honma to V cross (2 s.). (Tanaka),3,0.5,SR
"Bwd. swing, salto fwd p. to cross or L-cross (2 s.).",3,0.4,SR
Uprise fwd. to cross or L-cross (2 s.).,3,0.3,SR
Uprise bwd. to cross or L-cross (2 s.).,3,0.3,SR
"Kip to cross, or L-cross (2 s.).",3,0.3,SR
Kip to V cross (2 s.). (Molinari),3,0.4,SR
Kip to inverted swallow (2 s.).,3,0.6,SR
Back kip to cross or L-cross (2 s.).,3,0.3,SR
Back kip to support scale (2 s.).,3,0.4,SR
Back kip to swallow (2 s.).,3,0.5,SR
Felge upward to support with straddled legs supported above the rings (2 s.).,3,0.2,SR
Back kip to inverted cross (2 s.).,3,0.5,SR
Felge upward to support scale straddled (2 s.),3,0.2,SR
Felge upward to cross or L-cross (2 s.).,3,0.3,SR
Felge upward to support scale (2 s.).,3,0.4,SR
Felge upward to Swallow (2 s.).,3,0.5,SR
Uprise forwad. to inverted swallow (2 s.). (Rodrigues),3,0.6,SR
Felge upward to invert. cross (2 s.).,3,0.5,SR
Uprise bwd. to support scale straddled (2 s.).,3,0.2,SR
Uprise bwd. to support scale (2 s.).,3,0.4,SR
Uprise bwd. to sup. scale at ring height (2 s.).,3,0.5,SR
Uprise bwd. to inverted cross (2 s.).,3,0.5,SR
Felge bwd. straight to free sup. scale. (2 s.),3,0.4,SR
"Salto fwd. piked or straight, also with ½ t.",4,0.1,SR
Salto fwd. piked or straight with 1/1 t.,4,0.2,SR
Salto fwd. piked or straight with 3/2 t.,4,0.3,SR
Salto fwd. piked or straight with 2/1 t.,4,0.4,SR
Double salto fwd. tucked or tucked with ½ t.,4,0.3,SR
Double salto fwd. tucked with 3/2 t (also 1/1 t.) (Fischer),4,0.4,SR
Double salto fwd. piked or piked with ½ t. (Balabanov),4,0.4,SR
Double salto fwd. piked with 3/2 t. (also 1/1 t.).,4,0.5,SR
Salto bwd. piked or straight also with ½.,4,0.1,SR
Salto bwd. straight with 1/1 t.,4,0.2,SR
Salto bwd. straight with 2/1 t. or 3/2 t.,4,0.3,SR
Salto bwd. straight with 3/1 t.,4,0.5,SR
Double salto bwd. tucked or piked.,4,0.2,SR
Double salto bwd. straight.,4,0.3,SR
Triple salto bwd. tucked. G,4,0.7,SR
Triple salto bwd. piked. I,4,0.9,SR
Double salto bwd. t. with ½ or 1/1 t. Double salto bwd. t. with 3/2 t.,4,0.3,SR
Double salto bwd. t. with 2/1 t.,4,0.5,SR
Double salto bwd. t. with 5/2 t.,4,0.6,SR
Salto bwd. str. with 1/1 t. and salto t.,4,0.3,SR
Double salto bwd. straight with ½ or 1/1 t.,4,0.4,SR
Double salto bwd. straight with 3/2 or 2/1 t.,4,0.6,SR
